,ids,team
35079,Poland1993-03-31Lithuania,Lithuania
35080,Switzerland1993-03-31Portugal,Switzerland
35081,Switzerland1993-03-31Portugal,Portugal
35082,Turkey1993-03-31England,Turkey
35083,Turkey1993-03-31England,England
35084,Wales1993-03-31Belgium,Wales
35085,Wales1993-03-31Belgium,Belgium
35086,Malaysia1993-04-02United Arab Emirates,Malaysia
35087,Malaysia1993-04-02United Arab Emirates,United Arab Emirates
35088,Saint Kitts and Nevis1993-04-02British Virgin Islands,Saint Kitts and Nevis
35089,Saint Kitts and Nevis1993-04-02British Virgin Islands,British Virgin Islands
35090,Niger1993-04-03Benin,Niger
35091,Niger1993-04-03Benin,Benin
35092,Anguilla1993-04-04Antigua and Barbuda,Anguilla
35093,Anguilla1993-04-04Antigua and Barbuda,Antigua and Barbuda
35094,Dominican Republic1993-04-04British Virgin Islands,Dominican Republic
35095,Dominican Republic1993-04-04British Virgin Islands,British Virgin Islands
35096,El Salvador1993-04-04Mexico,El Salvador
35097,El Salvador1993-04-04Mexico,Mexico
35098,Honduras1993-04-04Canada,Honduras
35099,Honduras1993-04-04Canada,Canada
35100,Kuwait1993-04-04Egypt,Kuwait
35101,Kuwait1993-04-04Egypt,Egypt
35102,Antigua and Barbuda1993-04-05Sint Maarten,Antigua and Barbuda
35103,Antigua and Barbuda1993-04-05Sint Maarten,Sint Maarten
35104,Anguilla1993-04-06Sint Maarten,Anguilla
35105,Anguilla1993-04-06Sint Maarten,Sint Maarten
35106,Saint Kitts and Nevis1993-04-06Dominican Republic,Saint Kitts and Nevis
35107,Saint Kitts and Nevis1993-04-06Dominican Republic,Dominican Republic
35108,Slovenia1993-04-07Estonia,Slovenia
35109,Slovenia1993-04-07Estonia,Estonia
35110,Japan1993-04-08Thailand,Japan
35111,Japan1993-04-08Thailand,Thailand
35112,Sri Lanka1993-04-08United Arab Emirates,Sri Lanka
35113,Sri Lanka1993-04-08United Arab Emirates,United Arab Emirates
35114,Algeria1993-04-09Sierra Leone,Algeria
35115,Algeria1993-04-09Sierra Leone,Sierra Leone
35116,Egypt1993-04-09Mali,Egypt
35117,Egypt1993-04-09Mali,Mali
35118,North Korea1993-04-09Vietnam,North Korea
35119,North Korea1993-04-09Vietnam,Vietnam
35120,Oman1993-04-09Malaysia,Oman
35121,Oman1993-04-09Malaysia,Malaysia
35122,Qatar1993-04-09Indonesia,Qatar
35123,Qatar1993-04-09Indonesia,Indonesia
35124,South Africa1993-04-10Mauritius,South Africa
35125,South Africa1993-04-10Mauritius,Mauritius
35126,Canada1993-04-11El Salvador,Canada
35127,Canada1993-04-11El Salvador,El Salvador
35128,Ethiopia1993-04-11Nigeria,Ethiopia
35129,Ethiopia1993-04-11Nigeria,Nigeria
35130,Gabon1993-04-11Benin,Gabon
35131,Gabon1993-04-11Benin,Benin
35132,Guinea1993-04-11Congo,Guinea
35133,Guinea1993-04-11Congo,Congo
35134,Guinea-Bissau1993-04-11Senegal,Guinea-Bissau
